Cer,[M+H2PO4]-,[M-H]-,[M-H-H2CO]-,[M-H2O-R1]-,[M-H2O-R2+amide]-,[R2+amide]-
Cer(d16:0/15:1),592.434606,494.45771,464.4472,264.2333,237.2221,238.2176
Cer(d16:0/16:0),608.465906,510.48901,480.4785,280.2646,237.2221,254.2489
Cer(d16:0/16:1),606.450306,508.47341,478.4629,278.249,237.2221,252.2333
Cer(d16:0/17:0),622.481606,524.50471,494.4942,294.2803,237.2221,268.2646
Cer(d16:0/17:1),620.465906,522.48901,492.4785,292.2646,237.2221,266.2489
Cer(d16:0/17:2),618.450306,520.47341,490.4629,290.249,237.2221,264.2333
Cer(d16:0/18:0),636.497206,538.52031,508.5098,308.2959,237.2221,282.2802
Cer(d16:0/18:1),634.481606,536.50471,506.4942,306.2803,237.2221,280.2646
Cer(d16:0/18:2),632.465906,534.48901,504.4785,304.2646,237.2221,278.2489
Cer(d16:0/18:3),630.450306,532.47341,502.4629,302.249,237.2221,276.2333
Cer(d16:0/18:4),628.434606,530.45771,500.4472,300.2333,237.2221,274.2176
Cer(d16:0/19:0),650.512906,552.53601,522.5255,322.3116,237.2221,296.2959
Cer(d16:0/20:0),664.528506,566.55161,536.5411,336.3272,237.2221,310.3115
Cer(d16:0/20:1),662.512906,564.53601,534.5255,334.3116,237.2221,308.2959
Cer(d16:0/20:2),660.497206,562.52031,532.5098,332.2959,237.2221,306.2802
Cer(d16:0/20:3),658.481606,560.50471,530.4942,330.2803,237.2221,304.2646
Cer(d16:0/20:4),656.465906,558.48901,528.4785,328.2646,237.2221,302.2489
Cer(d16:0/20:5),654.450306,556.47341,526.4629,326.249,237.2221,300.2333
Cer(d16:0/21:0),678.544206,580.56731,550.5568,350.3429,237.2221,324.3272
Cer(d16:0/22:0),692.559806,594.58291,564.5724,364.3585,237.2221,338.3428
Cer(d16:0/22:1),690.544206,592.56731,562.5568,362.3429,237.2221,336.3272
Cer(d16:0/22:2),688.528506,590.55161,560.5411,360.3272,237.2221,334.3115
Cer(d16:0/22:3),686.512906,588.53601,558.5255,358.3116,237.2221,332.2959
Cer(d16:0/22:4),684.497206,586.52031,556.5098,356.2959,237.2221,330.2802
Cer(d16:0/22:5),682.481606,584.50471,554.4942,354.2803,237.2221,328.2646
Cer(d16:0/22:6),680.465906,582.48901,552.4785,352.2646,237.2221,326.2489
Cer(d16:0/23:0),706.575506,608.59861,578.5881,378.3742,237.2221,352.3585
Cer(d16:0/24:0),720.591106,622.61421,592.6037,392.3898,237.2221,366.3741
