PG,[M-H]-,[M-Glycerol]-,[M-T1RCH=C=O]-,[M-T2RCH=C=O]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[M-T1RCH=C=O-Glycerol]-,[M-T2RCH=C=O-Glycerol]-,[M-T1RCOOH-Glycerol]-,[M-T2RCOOH-Glycerol]-,[T1_RCOO]-,[T2_RCOO]-, [Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[Glycerophosphoglycerol]-,[Glycerophosphoglycerol-H2O]-,[Glycerophosphoglycerol-2H2O]-
PG(12:0_20:3),715.45566,641.41888,533.28859,427.21029,515.27803,409.19973,459.25181,353.17351,441.24125,335.16295,199.17035,305.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_20:4),713.43996,639.40318,531.27289,427.21029,513.26233,409.19973,457.23611,353.17351,439.22555,335.16295,199.17035,303.23295,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_20:5),711.42436,637.38758,529.25729,427.21029,511.24673,409.19973,455.22051,353.17351,437.20995,335.16295,199.17035,301.21735,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_21:0),735.51826,661.48148,553.35119,427.21029,535.34063,409.19973,479.31441,353.17351,461.30385,335.16295,199.17035,325.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_22:0),749.53386,675.49708,567.36679,427.21029,549.35623,409.19973,493.33001,353.17351,475.31945,335.16295,199.17035,339.32685,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_22:1),747.51826,673.48148,565.35119,427.21029,547.34063,409.19973,491.31441,353.17351,473.30385,335.16295,199.17035,337.31125,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_22:2),745.50256,671.46578,563.33549,427.21029,545.32493,409.19973,489.29871,353.17351,471.28815,335.16295,199.17035,335.29555,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_22:3),743.48696,669.45018,561.31989,427.21029,543.30933,409.19973,487.28311,353.17351,469.27255,335.16295,199.17035,333.27995,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_22:4),741.47126,667.43448,559.30419,427.21029,541.29363,409.19973,485.26741,353.17351,467.25685,335.16295,199.17035,331.26425,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
PG(12:0_22:5),739.45566,665.41888,557.28859,427.21029,539.27803,409.19973,483.25181,353.17351,465.24125,335.16295,199.17035,329.24865,152.99586,96.96964,78.95852,245.04211,227.03153,209.02095
