SM,[M+H2PO4]-,[M-CH3]-,[T2-H]-,[PC-CH3-H]-
SM(d15:1/17:1)+H2PO4,769.490217,657.493,267.2329,168.0431
SM(d15:1/17:2)+H2PO4,767.474617,655.4774,265.2173,168.0431
SM(d15:1/18:0)+H2PO4,785.521517,673.5243,283.2642,168.0431
SM(d15:1/18:1)+H2PO4,783.505917,671.5087,281.2486,168.0431
SM(d15:1/18:2)+H2PO4,781.490217,669.493,279.2329,168.0431
SM(d15:1/18:3)+H2PO4,779.474617,667.4774,277.2173,168.0431
SM(d15:1/18:4)+H2PO4,777.458917,665.4617,275.2016,168.0431
SM(d15:1/19:0)+H2PO4,799.537217,687.54,297.2799,168.0431
SM(d15:1/20:0)+H2PO4,813.552817,701.5556,311.2955,168.0431
SM(d15:1/20:1)+H2PO4,811.537217,699.54,309.2799,168.0431
SM(d15:1/20:2)+H2PO4,809.521517,697.5243,307.2642,168.0431
SM(d15:1/20:3)+H2PO4,807.505917,695.5087,305.2486,168.0431
SM(d15:1/20:4)+H2PO4,805.490217,693.493,303.2329,168.0431
SM(d15:1/20:5)+H2PO4,803.474617,691.4774,301.2173,168.0431
SM(d15:1/21:0)+H2PO4,827.568517,715.5713,325.3112,168.0431
SM(d15:1/22:0)+H2PO4,841.584117,729.5869,339.3268,168.0431
SM(d15:1/22:1)+H2PO4,839.568517,727.5713,337.3112,168.0431
SM(d15:1/22:2)+H2PO4,837.552817,725.5556,335.2955,168.0431
SM(d15:1/22:3)+H2PO4,835.537217,723.54,333.2799,168.0431
SM(d15:1/22:4)+H2PO4,833.521517,721.5243,331.2642,168.0431
SM(d15:1/22:5)+H2PO4,831.505917,719.5087,329.2486,168.0431
SM(d15:1/22:6)+H2PO4,829.490217,717.493,327.2329,168.0431
SM(d15:1/23:0)+H2PO4,855.599817,743.6026,353.3425,168.0431
SM(d15:1/24:0)+H2PO4,869.615417,757.6182,367.3581,168.0431
