PS,[M-H]-,[M-Serine]-,[M-T1Ketene]-,[M-T2Ketene]-,[M-T1RCOOH]-,[M-T2RCOOH]-,[GlyceroPC-CH3-H2O]-,[T1_RCOO]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-
PS(13:0_22:0),776.5448,689.51278,493.33001,367.18921,475.31945,349.17865,224.06881,213.18605,339.32685,152.99586,96.96964,78.95852
PS(13:0_22:1),774.5292,687.49718,491.31441,367.18921,473.30385,349.17865,224.06881,213.18605,337.31125,152.99586,96.96964,78.95852
PS(13:0_22:2),772.5135,685.48148,489.29871,367.18921,471.28815,349.17865,224.06881,213.18605,335.29555,152.99586,96.96964,78.95852
PS(13:0_22:3),770.4979,683.46588,487.28311,367.18921,469.27255,349.17865,224.06881,213.18605,333.27995,152.99586,96.96964,78.95852
PS(13:0_22:4),768.4822,681.45018,485.26741,367.18921,467.25685,349.17865,224.06881,213.18605,331.26425,152.99586,96.96964,78.95852
PS(13:0_22:5),766.4666,679.43458,483.25181,367.18921,465.24125,349.17865,224.06881,213.18605,329.24865,152.99586,96.96964,78.95852
PS(13:0_22:6),764.4509,677.41888,481.23611,367.18921,463.22555,349.17865,224.06881,213.18605,327.23295,152.99586,96.96964,78.95852
PS(13:0_23:0),790.5605,703.52848,507.34571,367.18921,489.33515,349.17865,224.06881,213.18605,353.34255,152.99586,96.96964,78.95852
PS(13:0_24:0),804.5761,717.54408,521.36131,367.18921,503.35075,349.17865,224.06881,213.18605,367.35815,152.99586,96.96964,78.95852
PS(13:0_24:1),802.5605,715.52848,519.34571,367.18921,501.33515,349.17865,224.06881,213.18605,365.34255,152.99586,96.96964,78.95852
PS(13:0_25:0),818.5918,731.55978,535.37701,367.18921,517.36645,349.17865,224.06881,213.18605,381.37385,152.99586,96.96964,78.95852
PS(13:0_26:0),832.6074,745.57538,549.39261,367.18921,531.38205,349.17865,224.06881,213.18605,395.38945,152.99586,96.96964,78.95852
PS(14:0_14:0),678.4352,591.40318,381.20481,381.20481,363.19425,363.19425,224.06881,227.20165,227.20165,152.99586,96.96964,78.95852
PS(14:0_14:1),676.4196,589.38758,379.18921,381.20481,361.17865,363.19425,224.06881,227.20165,225.18605,152.99586,96.96964,78.95852
PS(14:0_15:0),692.4509,605.41888,395.22051,381.20481,377.20995,363.19425,224.06881,227.20165,241.21735,152.99586,96.96964,78.95852
PS(14:0_15:1),690.4352,603.40318,393.20481,381.20481,375.19425,363.19425,224.06881,227.20165,239.20165,152.99586,96.96964,78.95852
PS(14:0_16:0),706.4665,619.43448,409.23611,381.20481,391.22555,363.19425,224.06881,227.20165,255.23295,152.99586,96.96964,78.95852
PS(14:0_16:1),704.4509,617.41888,407.22051,381.20481,389.20995,363.19425,224.06881,227.20165,253.21735,152.99586,96.96964,78.95852
PS(14:0_17:0),720.4822,633.45018,423.25181,381.20481,405.24125,363.19425,224.06881,227.20165,269.24865,152.99586,96.96964,78.95852
PS(14:0_17:1),718.4665,631.43448,421.23611,381.20481,403.22555,363.19425,224.06881,227.20165,267.23295,152.99586,96.96964,78.95852
PS(14:0_17:2),716.4509,629.41888,419.22051,381.20481,401.20995,363.19425,224.06881,227.20165,265.21735,152.99586,96.96964,78.95852
PS(14:0_18:0),734.4978,647.46578,437.26741,381.20481,419.25685,363.19425,224.06881,227.20165,283.26425,152.99586,96.96964,78.95852
PS(14:0_18:1),732.4822,645.45018,435.25181,381.20481,417.24125,363.19425,224.06881,227.20165,281.24865,152.99586,96.96964,78.95852
PS(14:0_18:2),730.4665,643.43448,433.23611,381.20481,415.22555,363.19425,224.06881,227.20165,279.23295,152.99586,96.96964,78.95852
PS(14:0_18:3),728.4509,641.41888,431.22051,381.20481,413.20995,363.19425,224.06881,227.20165,277.21735,152.99586,96.96964,78.95852
PS(14:0_18:4),726.4352,639.40318,429.20481,381.20481,411.19425,363.19425,224.06881,227.20165,275.20165,152.99586,96.96964,78.95852
PS(14:0_19:0),748.5135,661.48148,451.28311,381.20481,433.27255,363.19425,224.06881,227.20165,297.27995,152.99586,96.96964,78.95852
PS(14:0_20:0),762.5291,675.49708,465.29871,381.20481,447.28815,363.19425,224.06881,227.20165,311.29555,152.99586,96.96964,78.95852
PS(14:0_20:1),760.5135,673.48148,463.28311,381.20481,445.27255,363.19425,224.06881,227.20165,309.27995,152.99586,96.96964,78.95852
PS(14:0_20:2),758.4978,671.46578,461.26741,381.20481,443.25685,363.19425,224.06881,227.20165,307.26425,152.99586,96.96964,78.95852
PS(14:0_20:3),756.4822,669.45018,459.25181,381.20481,441.24125,363.19425,224.06881,227.20165,305.24865,152.99586,96.96964,78.95852
PS(14:0_20:4),754.4665,667.43448,457.23611,381.20481,439.22555,363.19425,224.06881,227.20165,303.23295,152.99586,96.96964,78.95852
PS(14:0_20:5),752.4509,665.41888,455.22051,381.20481,437.20995,363.19425,224.06881,227.20165,301.21735,152.99586,96.96964,78.95852
PS(14:0_21:0),776.5448,689.51278,479.31441,381.20481,461.30385,363.19425,224.06881,227.20165,325.31125,152.99586,96.96964,78.95852
PS(14:0_22:0),790.5604,703.52838,493.33001,381.20481,475.31945,363.19425,224.06881,227.20165,339.32685,152.99586,96.96964,78.95852
PS(14:0_22:1),788.5448,701.51278,491.31441,381.20481,473.30385,363.19425,224.06881,227.20165,337.31125,152.99586,96.96964,78.95852
PS(14:0_22:2),786.5291,699.49708,489.29871,381.20481,471.28815,363.19425,224.06881,227.20165,335.29555,152.99586,96.96964,78.95852
PS(14:0_22:3),784.5135,697.48148,487.28311,381.20481,469.27255,363.19425,224.06881,227.20165,333.27995,152.99586,96.96964,78.95852
PS(14:0_22:4),782.4978,695.46578,485.26741,381.20481,467.25685,363.19425,224.06881,227.20165,331.26425,152.99586,96.96964,78.95852
PS(14:0_22:5),780.4822,693.45018,483.25181,381.20481,465.24125,363.19425,224.06881,227.20165,329.24865,152.99586,96.96964,78.95852
PS(14:0_22:6),778.4665,691.43448,481.23611,381.20481,463.22555,363.19425,224.06881,227.20165,327.23295,152.99586,96.96964,78.95852
PS(14:0_23:0),804.5761,717.54408,507.34571,381.20481,489.33515,363.19425,224.06881,227.20165,353.34255,152.99586,96.96964,78.95852
PS(14:0_24:0),818.5917,731.55968,521.36131,381.20481,503.35075,363.19425,224.06881,227.20165,367.35815,152.99586,96.96964,78.95852
PS(14:0_24:1),816.5761,729.54408,519.34571,381.20481,501.33515,363.19425,224.06881,227.20165,365.34255,152.99586,96.96964,78.95852
PS(14:0_25:0),832.6074,745.57538,535.37701,381.20481,517.36645,363.19425,224.06881,227.20165,381.37385,152.99586,96.96964,78.95852
PS(14:0_26:0),846.623,759.59098,549.39261,381.20481,531.38205,363.19425,224.06881,227.20165,395.38945,152.99586,96.96964,78.95852
PS(14:1_14:1),674.404,587.37198,379.18921,379.18921,361.17865,361.17865,224.06881,225.18605,225.18605,152.99586,96.96964,78.95852
PS(14:1_15:0),690.4353,603.40328,395.22051,379.18921,377.20995,361.17865,224.06881,225.18605,241.21735,152.99586,96.96964,78.95852
PS(14:1_15:1),688.4196,601.38758,393.20481,379.18921,375.19425,361.17865,224.06881,225.18605,239.20165,152.99586,96.96964,78.95852
PS(14:1_16:0),704.4509,617.41888,409.23611,379.18921,391.22555,361.17865,224.06881,225.18605,255.23295,152.99586,96.96964,78.95852
PS(14:1_16:1),702.4353,615.40328,407.22051,379.18921,389.20995,361.17865,224.06881,225.18605,253.21735,152.99586,96.96964,78.95852
