Plasmenyl-PE,[M-H]-,[M-T2Ketene]-,[M-T2RCOOH]-,[T2_RCOO]-,[Glycerol-3-phosphate-H2O]-,[H2PO4]-,[PO3]-,[PE]-,[PE-H2O]-
Plasmenyl-PE(P-20:0/20:2),782.60695,492.34598,474.33542,307.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/20:3),780.59135,492.34598,474.33542,305.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/20:4),778.57565,492.34598,474.33542,303.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/20:5),776.56005,492.34598,474.33542,301.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/21:0),800.65395,492.34598,474.33542,325.31125,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/22:0),814.66955,492.34598,474.33542,339.32685,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/22:1),812.65395,492.34598,474.33542,337.31125,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/22:2),810.63825,492.34598,474.33542,335.29555,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/22:3),808.62265,492.34598,474.33542,333.27995,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/22:4),806.60695,492.34598,474.33542,331.26425,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/22:5),804.59135,492.34598,474.33542,329.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/22:6),802.57565,492.34598,474.33542,327.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/23:0),828.68525,492.34598,474.33542,353.34255,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/24:0),842.70085,492.34598,474.33542,367.35815,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/24:1),840.68525,492.34598,474.33542,365.34255,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/25:0),856.71655,492.34598,474.33542,381.37385,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/26:0),870.73215,492.34598,474.33542,395.38945,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:0/8:0),618.45045,492.34598,474.33542,143.10775,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/10:0),644.46615,490.33038,472.31982,171.13905,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/12:0),672.49745,490.33038,472.31982,199.17035,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/13:0),686.51315,490.33038,472.31982,213.18605,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/14:0),700.52875,490.33038,472.31982,227.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/14:1),698.51315,490.33038,472.31982,225.18605,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/15:0),714.54445,490.33038,472.31982,241.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/15:1),712.52875,490.33038,472.31982,239.20165,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/16:0),728.56005,490.33038,472.31982,255.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/16:1),726.54445,490.33038,472.31982,253.21735,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/17:0),742.57575,490.33038,472.31982,269.24865,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/17:1),740.56005,490.33038,472.31982,267.23295,152.99586,96.96964,78.95852,140.01128,122.0007
Plasmenyl-PE(P-20:1/17:2),738.54445,490.33038,472.31982,265.21735,152.99586,96.96964,78.95852,140.01128,122.0007
