HexCer,[M+K]+,[M+H-H2O]+,[M+H-Hex]+,[M+H-Hex-H2O]+,[M+H-R1-H2O-Hex]+,[M+H-R1-2H2O-Hex]+
HexCer(d15:1/15:1),680.45038,624.48394,462.4311,444.4205,240.2322,222.2216
HexCer(d15:1/16:0),696.48168,640.51524,478.4624,460.4518,240.2322,222.2216
HexCer(d15:1/16:1),694.46598,638.49954,476.4467,458.4362,240.2322,222.2216
HexCer(d15:1/16:2),692.45038,636.48394,474.4311,456.4205,240.2322,222.2216
HexCer(d15:1/17:0),710.49728,654.53084,492.478,474.4675,240.2322,222.2216
HexCer(d15:1/18:0),724.51298,668.54654,506.4937,488.4831,240.2322,222.2216
HexCer(d15:1/18:1),722.49728,666.53084,504.478,486.4675,240.2322,222.2216
HexCer(d15:1/18:2),720.48168,664.51524,502.4624,484.4518,240.2322,222.2216
HexCer(d15:1/19:0),738.52868,682.56224,520.5093,502.4988,240.2322,222.2216
HexCer(d15:1/19:1),736.51298,680.54654,518.4937,500.4831,240.2322,222.2216
HexCer(d15:1/20:0),752.54428,696.57784,534.525,516.5144,240.2322,222.2216
HexCer(d15:1/20:1),750.52868,694.56224,532.5093,514.4988,240.2322,222.2216
HexCer(d15:1/20:2),748.51298,692.54654,530.4937,512.4831,240.2322,222.2216
HexCer(d15:1/21:0),766.55998,710.59354,548.5406,530.5301,240.2322,222.2216
HexCer(d15:1/21:1),764.54428,708.57784,546.525,528.5144,240.2322,222.2216
HexCer(d15:1/22:0),780.57558,724.60914,562.5563,544.5457,240.2322,222.2216
HexCer(d15:1/22:1),778.55998,722.59354,560.5406,542.5301,240.2322,222.2216
HexCer(d15:1/22:2),776.54428,720.57784,558.525,540.5144,240.2322,222.2216
HexCer(d15:1/23:0),794.59118,738.62474,576.572,558.5613,240.2322,222.2216
HexCer(d15:1/23:1),792.57558,736.60914,574.5563,556.5457,240.2322,222.2216
HexCer(d15:1/24:0),808.60688,752.64044,590.5876,572.577,240.2322,222.2216
HexCer(d15:1/24:1),806.59118,750.62474,588.572,570.5613,240.2322,222.2216
HexCer(d15:1/24:2),804.57558,748.60914,586.5563,568.5457,240.2322,222.2216
HexCer(d15:1/25:0),822.62248,766.65604,604.6032,586.5927,240.2322,222.2216
HexCer(d15:1/25:1),820.60688,764.64044,602.5876,584.577,240.2322,222.2216
HexCer(d15:1/26:0),836.63818,780.67174,618.6189,600.6083,240.2322,222.2216
HexCer(d15:1/26:1),834.62248,778.65604,616.6032,598.5927,240.2322,222.2216
HexCer(d15:1/26:2),832.60688,776.64044,614.5876,596.577,240.2322,222.2216
HexCer(d15:1/27:0),850.65378,794.68734,632.6345,614.624,240.2322,222.2216
HexCer(d15:1/27:1),848.63818,792.67174,630.6189,612.6083,240.2322,222.2216
HexCer(d15:1/28:0),864.66948,808.70304,646.6502,628.6396,240.2322,222.2216
HexCer(d15:1/28:1),862.65378,806.68734,644.6345,626.624,240.2322,222.2216
HexCer(d15:1/28:2),860.63818,804.67174,642.6189,624.6083,240.2322,222.2216
HexCer(d15:1/29:0),878.68508,822.71864,660.6658,642.6553,240.2322,222.2216
HexCer(d15:1/29:1),876.66948,820.70304,658.6502,640.6396,240.2322,222.2216
HexCer(d15:1/30:0),892.70078,836.73434,674.6815,656.6709,240.2322,222.2216
HexCer(d15:1/30:1),890.68508,834.71864,672.6658,654.6553,240.2322,222.2216
HexCer(d15:1/30:2),888.66948,832.70304,670.6502,652.6396,240.2322,222.2216
