"PG","[M+NH4]+","[M+NH4-PG head]+","[M+NH4-PG head-H2O]+","[M+NH4-T1_RCOOH]+","[M+NH4-T2_RCOOH]+","[T1_RCO]+","[T2_RCO]+","[T1RCOO+58]+","[T2RCOO+58]+"
"PG(40:0) PG(14:0_26:0)",852.66886,681.66296,663.628627,607.433386,439.245586,211.20565,379.39345,285.24243,453.43023
"PG(28:2) PG(14:1_14:1)",680.44986,509.44396,491.409627,437.229986,437.229986,209.19005,209.19005,283.22683,283.22683
"PG(29:1) PG(14:1_15:0)",696.48116,525.47526,507.440927,453.261286,437.229986,209.19005,225.22135,283.22683,299.25813
"PG(29:2) PG(14:1_15:1)",694.46546,523.45956,505.425227,451.245586,437.229986,209.19005,223.20565,283.22683,297.24243
"PG(30:1) PG(14:1_16:0)",710.49676,539.49086,521.456527,467.276886,437.229986,209.19005,239.23695,283.22683,313.27373
"PG(30:2) PG(14:1_16:1)",708.48116,537.47526,519.440927,465.261286,437.229986,209.19005,237.22135,283.22683,311.25813
"PG(31:1) PG(14:1_17:0)",724.51246,553.50656,535.472227,481.292586,437.229986,209.19005,253.25265,283.22683,327.28943
"PG(31:2) PG(14:1_17:1)",722.49676,551.49086,533.456527,479.276886,437.229986,209.19005,251.23695,283.22683,325.27373
"PG(31:3) PG(14:1_17:2)",720.48116,549.47526,531.440927,477.261286,437.229986,209.19005,249.22135,283.22683,323.25813
"PG(32:1) PG(14:1_18:0)",738.52806,567.52216,549.487827,495.308186,437.229986,209.19005,267.26825,283.22683,341.30503
"PG(32:2) PG(14:1_18:1)",736.51246,565.50656,547.472227,493.292586,437.229986,209.19005,265.25265,283.22683,339.28943
"PG(32:3) PG(14:1_18:2)",734.49676,563.49086,545.456527,491.276886,437.229986,209.19005,263.23695,283.22683,337.27373
"PG(32:4) PG(14:1_18:3)",732.48116,561.47526,543.440927,489.261286,437.229986,209.19005,261.22135,283.22683,335.25813
"PG(32:5) PG(14:1_18:4)",730.46546,559.45956,541.425227,487.245586,437.229986,209.19005,259.20565,283.22683,333.24243
"PG(33:1) PG(14:1_19:0)",752.54376,581.53786,563.503527,509.323886,437.229986,209.19005,281.28395,283.22683,355.32073
"PG(34:1) PG(14:1_20:0)",766.55936,595.55346,577.519127,523.339486,437.229986,209.19005,295.29955,283.22683,369.33633
"PG(34:2) PG(14:1_20:1)",764.54376,593.53786,575.503527,521.323886,437.229986,209.19005,293.28395,283.22683,367.32073
"PG(34:3) PG(14:1_20:2)",762.52806,591.52216,573.487827,519.308186,437.229986,209.19005,291.26825,283.22683,365.30503
