"DG","[M+Na]+","[M+H-H2O]+","[M+H-R1-2H2O]+","[M+H-R2-2H2O]+","[R1CO]+","[R2CO]+","[R1CO-H2O]+","[R2CO-H2O]+"
"DG(39:1) DG(14:1_25:0)",687.5899,647.5974,439.4146,283.2268,209.19,365.3778,191.1795,347.3673
"DG(40:1) DG(14:1_26:0)",701.6055,661.613,453.4302,283.2268,209.19,379.3934,191.1795,361.3829
"DG(30:0) DG(15:0_15:0)",563.4647,523.4722,299.2581,299.2581,225.2213,225.2213,207.2108,207.2108
"DG(30:1) DG(15:0_15:1)",561.449,521.4565,297.2424,299.2581,225.2213,223.2056,207.2108,205.1951
"DG(31:0) DG(15:0_16:0)",577.4803,537.4878,313.2737,299.2581,225.2213,239.2369,207.2108,221.2264
"DG(31:1) DG(15:0_16:1)",575.4647,535.4722,311.2581,299.2581,225.2213,237.2213,207.2108,219.2108
"DG(32:0) DG(15:0_17:0)",591.496,551.5035,327.2894,299.2581,225.2213,253.2526,207.2108,235.2421
"DG(32:1) DG(15:0_17:1)",589.4803,549.4878,325.2737,299.2581,225.2213,251.2369,207.2108,233.2264
"DG(32:2) DG(15:0_17:2)",587.4647,547.4722,323.2581,299.2581,225.2213,249.2213,207.2108,231.2108
"DG(33:0) DG(15:0_18:0)",605.5116,565.5191,341.305,299.2581,225.2213,267.2682,207.2108,249.2577
"DG(33:1) DG(15:0_18:1)",603.496,563.5035,339.2894,299.2581,225.2213,265.2526,207.2108,247.2421
"DG(33:2) DG(15:0_18:2)",601.4803,561.4878,337.2737,299.2581,225.2213,263.2369,207.2108,245.2264
"DG(33:3) DG(15:0_18:3)",599.4647,559.4722,335.2581,299.2581,225.2213,261.2213,207.2108,243.2108
"DG(33:4) DG(15:0_18:4)",597.449,557.4565,333.2424,299.2581,225.2213,259.2056,207.2108,241.1951
"DG(34:0) DG(15:0_19:0)",619.5273,579.5348,355.3207,299.2581,225.2213,281.2839,207.2108,263.2734
"DG(35:0) DG(15:0_20:0)",633.5429,593.5504,369.3363,299.2581,225.2213,295.2995,207.2108,277.289
